博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
塔上五月的风·TMHer,7267492822,04月12日 22:56,iPhone客户端,,,1,,,-,非粉之后的无心人，给环保小达人纶的真经……开麦狙一下本子核废水的问题吧大陆绝对不会再有人骂你td了 真的，反正你是真的关注环保，这件事也真的属于世界范围地球存亡的问题啦看完黄姐的新闻评述 我被吓死人类💊 ​
-姝蝶-,1980457592,04月12日 12:35,微博视频号,,,1,2,,-,“海洋在哭泣、鱼类在哭泣、地球在哭泣……”日本福岛民众举行集会反对政府排核污水入海。L微丢的微博视频 ​​​
春秋剑气长,6446581909,04月12日 16:06,微博视频号,,,,,,#日本核废水可致癌致畸致突变#】4月9日，日本政府基本决定将福岛核污水排入大海。12日，日本首相菅义伟表示，解决东京电力公司福岛第一核电站中不断增加的核污水一事，已经是“不能推迟”的课题。郑州大学教授李顺义指出，核废水排入大海以后，首先会影响到周边国家，然后经过海洋的大洋环流，十年以后，整个太平洋将会受到全部的污染。它如果存在人的体内，就可能导致“三致”，致癌致畸致突变，对人的遗传基因有重大的影响。#日本称处理福岛核污水不能推迟# #外交部回应日本拟决定核废水排海#,【专家： L大参考的微博视频 收起全文d
上善若水丶神游太虚,5376993338,04月12日 22:55,学习强国客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
营养不可缺少,3655831647,04月12日 06:06,微博发布平台专业版,,3,1,0,,#日本研究抑制牛打嗝#,【为减少碳排放 】据日本时事通讯社11日报道，该国农林水产领域排放的约为5000万吨温室气体中，牛打嗝和排泄物所释放的温室气体约为1370万吨，约占总数三成。日本农林水产省为此准备进行相关研究，以促使牛减少温室气体排放。据悉，牛胃分解饲料时会在微生物的作用下产生甲烷，并通过打嗝释放出来。而甲烷产生的温室效应是二氧化碳的25倍，进而导致全球变暖。由于甲烷的产生与牛胃中的微生物有关，所以日本农林水产省计划在今年进行相关实证研究，将甲烷排放较少的牛个体与其他牛进行比较，分析其诱发原因。（环球网） 收起全文d
贵州综合广播,2085931962,04月12日 22:55,Android,,,,1,,#日方不能对国际社会的反对视而不见#】#外交部回应日本拟决定核废水排海#,【外交部：：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。（总台央视记者张雪松）O网页链接 收起全文d
148102707dZEj,1972641277,04月12日 22:55,学习强国客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
狱炎猛火,7510742365,04月12日 21:02,帝吧超话,,,,,,#核污水入海有多可怕##日本核废水可致癌致畸致突变#,日本近期发生多起大王乌贼搁浅事件，网友怀疑是福岛核废水排放造成的环境污染 ​
大公報-大公網,1895431523,04月12日 22:54,微博 weibo.com,,6,9,0,,#日本政府要求2年后能开始核废水排海# 【日本核污水真能“一倒了之”?　影响有多大?】“核事故处理后废水的处置没有先例，处置方式仍需进一步研究。”刘新华说，废水排放对海洋环境影响程度取决于所排放放射性核素的种类、浓度、总量，以及特定放射性核素与沉积物、海洋生物等海洋环境关键要素相互作用等情况。但福岛大量废水向太平洋排放后，必将导致放射性核素在排放点附近海域的海洋沉积物和海洋生物中富集，部分核素将随洋流等向其他海域迁移、扩散。 日本是我国的近邻，不论日本排放废水是采取近岸排放还是远洋公共海域排放，放射性核素都将随洋流在北太平洋海域扩散，我国管辖海域不可避免会受到放射性物质的跨界污染影响。O网页链接（大公文汇全媒体） #菅义伟回应福岛核污水排入大海# #日本政府正式决定福岛核废水排海#, 收起全文d
鎏金龅牙,7365242988,04月12日 21:40,微博 weibo.com,,,,,,#v光计划#, 这是IAEA4月2日对日本福岛废水的评估报告，链接：O网页链接。图四是报告的摘要版，提到了主要的发现和建议：上面一段是所谓“同意”的来源，就是在技术原理上的同意；下一段是实践层面，IAEA既没有权限也没有兴趣直接给日本政府背书，大致机翻见图六，关键词是所有利益相关者 ​
愿玲相随,1165442912,04月12日 22:54,iPhone客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
拉不其尔诺,6595859084,04月10日 15:35,微博发布平台专业版,,,,,,#环保少女不满疫苗分配拒绝参加气候大会#,【抗疫环保两开花？ 】BBC当地时间10日报道，环保少女格里塔表示，由于全球疫苗分配不均，她不会参加11月的联合国气候大会。她称许多国家以牺牲其他高风险群体和一线工作者为代价，为“健康的年轻人”接种疫苗。“社会不平等和气候不公平已经是气候危机的核心问题。如果人们不能接种疫苗，不能平等地旅行，这是非常不民主的，会使问题恶化。”她呼吁解决疫情民族问题，用全球性方案结束疫情。 收起全文d
一只小妥妥,7343442049,04月12日 15:23,微博 weibo.com,,,,,,#日方不能对国际社会的反对视而不见#】#外交部回应日本拟决定核废水排海#,【外交部：：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。（总台央视记者张雪松）O网页链接 收起全文d
云过天天更蓝,7210155979,04月12日 09:33,微博视频号,,,,,,#v光计划#, 日本排放废水的简单模拟 L沈逸的微博视频 ​
不想睡的蚊子,2948573027,04月12日 22:54,iPhone客户端,,,1,,,-,明天日本要放核废水了 ​
真实的肥妈,6059985097,04月12日 21:40,微博 weibo.com,,,,,,#v光计划#, 这是IAEA4月2日对日本福岛废水的评估报告，链接：O网页链接。图四是报告的摘要版，提到了主要的发现和建议：上面一段是所谓“同意”的来源，就是在技术原理上的同意；下一段是实践层面，IAEA既没有权限也没有兴趣直接给日本政府背书，大致机翻见图六，关键词是所有利益相关者 ​
遂昌快活林,1908417784,04月12日 22:53,遂昌金矿iPhone 12 Pro Max,,,,3,,-,"天马科技    1    饲料    1.日本核污水排放，日本政府在4月9日宣布，将会向太平洋排放核废水，在4月13日将会正式批准这个决定。我国是水产品消耗大国，而且据联合国粮农组织预测，2020年中国人均海鲜消费量将达到约36公斤，这与2006年的数据相比，上涨了约38％。国内市场，很可能会因日本投放核污水，而被彻底打乱，内陆淡水养殖关注得到提高。2.饲料，专业从事特种水产配合饲料研发、生产和销售的国家级高新技术企业和农业产业化国家重点龙头企业,产品主要应用于鳗鲡、石斑鱼、大黄鱼、龟等特种水产动物;参与起草制定的大黄鱼配合饲料行业标准发布并获批准实施。3.主营业务，公司是一家专业从事特种水产配合饲料研发、生产、销售的高新技术企业。公司主要产品有：鳗鲡配合饲料、鳖配合饲料、鲟鱼配合饲料、大黄鱼配合饲料、金鲳配合饲料、石斑鱼配合饲料、种苗期配合饲料。 2丽水·凯恩・兴居花园 收起全文d"
vyrnjklq,6270548715,04月12日 16:08,360安全浏览器,,,,,,-,某松鼠会又开始活跃起来了 ​
白放翁,6391961651,04月12日 22:52,iPhone客户端,,,,,,-,按照日本政府估算，至少要排核废水30年。。。中国沿海30年不打鱼，要损失多少万亿？？？咋打鱼？？？水里都是核辐射，卖给谁？？？台湾更惨，现在已经缺水，未来三十年下的雨多数来自台湾四面的海洋，连续30年的带有核辐射的雨水，台湾以后癌症都是一般病症，不是百分比的算致癌率而是百分百的算致癌率，每生一个就是一个癌症患者。。。台湾现在就是一座孤岛。。。台湾人民要么回归到中国内地生活躲避这次灾难，要么远洋欧美成为难民。。。那些沿海国家更加悲惨，连续三十年出口的水果粮食带有核辐射，直接就经济倒退三十年，一群癌症患者。。。所以，必须缩短日本排核废水的年限。。。也就是说必须让日本引爆核反应堆。。。不然，太平洋沿海小国家很可能直接灭国。。。这次不是几十万难民，，，而是几亿难民。。。日本配得起吗？？？ 收起全文d
城星时间,7513854140,04月12日 22:52,荣耀20,,,,,,-,小日本的核废水排入大海估计是既定的事实了，已经没法储存和处理了，这个对海洋的伤害没法测出伤害海鲜还能吃吗 ​
版本错误正在升级,3814256704,04月12日 22:31,HUAWEI P40 Pro 5G,,,,,,#菅义伟回应福岛核污水排入大海#,日本人要吧核污水排进大海，估计只要是个人，都应该知道这对环境的破坏，奇怪的是，这时候没有一个“热衷”于环保的人站出来反对，平时那些所谓的环保人士，此刻都如同约定好了一般选择了沉默，它们究竟真的是关注环保吗？我想只有它们自己心里知道！ ​
热门时刻,5594711059,04月12日 22:52,iPhone客户端,,,,1,,#菅义伟回应福岛核污水排入大海#,核废水绝对不能倒入大海！简直就是自我灭绝行为！ L热门时刻的微博视频 ​
枯叶蝶的苏醒,3820844253,04月12日 22:52,微博 HTML5 版,,,1,,,-,看到进击巨人这么美化法西斯侵略历史为以前真情实感追过这个漫感到拧巴 甚至怀疑食尸鬼和鬼灭也有夹带右翼私货的可能 就像这两天看到的新闻一样拧巴 我们因为项目可能占用红树林闹到不可开交的时候人家已经准备往海里排核废水了 这么大工程不需要环评论证拍脑袋决策环保NGO不去抗议吗 真想一起陪zang？…… 收起全文d
伍长_你是最棒的王,1860074594,04月12日 20:09,HUAWEI P30 Pro,,,,,,#日本核废水可致癌致畸致突变#影视作品中，日本人总是在反思对自然的破坏。影视作品外，“我们决定往海里排核废水啦，污染到你们真是不好意思啦”。奥特曼也许是虚构的，但怪兽却是真实存在的，就在这些人的心里。#暴走君聊天室#, ​
white55开14640,6975628818,04月12日 22:52,学习强国客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
大螃蟹在2018年,2274423315,04月12日 15:51,微博视频号,,,,,@中国三农发布@中国三农发布,#日本倾倒核废水可能危及国人餐桌#】最近几天，日本政府打算向太平洋排放123万吨核废水的消息，遭到世界各国尤其是周边各国的谴责。德国海洋研究机构判断说，核污水入海57天可污染大半个太平洋。如此多的核污水如果真被倒进太平洋，作为日本邻国的中国还能不能愉快地吃海鲜？ 2011年，日本福岛核电站因大地震发生泄漏事故，为了给核反应堆降温，日本采用了水冷却的办法，由此产生大量核废水。快10年过去了，储水设备即将装满，日本计划逐步向太平洋排放核废水。 @中国三农发布 关心的是，排入太平洋的核废水会流到哪里？会对海洋生物和人造成什么样的影响？ 先说流向。日本东海岸有日本暖流，它会源源不断把日本排泄的污水汇入北太平洋暖流，洋流会带着污水在整个北太平洋循环，沿岸国家和地区有十余个，不算中国，人口就已经是10亿量级的。而且，核废水会顺着洋流在北太平洋绕一圈，最后也会到达我国台湾地区附近。 再说影响。有人说，海洋实在太大，海水的量实在太多，稀释能力超强，大海会很快“消化”掉这些核废水。实际上，这些含有放射性物质的核废水和普通工业废水不一样，即使在海洋里扩散稀释，它们的半衰期依然有几十年、甚至几百上千年。这也就意味着，核污染不可能轻易散去，海洋生物会遭到辐射污染。动植物受到辐射，不少都会产生变异，有些还会大范围消失。加拿大已经在其西海岸的三文鱼身上检测到铯-134放射性元素，说明日本福岛核污染已经扩散到北美地区。在美国夏威夷海域，放射物含量的水平已经达到先前的两倍。如果海洋生物遭到污染甚至毁灭，人类也会因为食用这些鱼类，将面临巨大的健康风险。环保组织甚至发出警告，污水中的辐射物会影响人类的DNA，下一代也很可能会畸形、残疾、癌变、夭折，而这种基因损害会持续数千年。 对我们国家来说，很难独善其身。当核废水顺着洋流走向全球，全世界渔业都会受到影响。虽然很多人认为洋流走向，中国海域受的影响很小，但是要知道，环太平洋是我国远洋渔船前往的主要渔场，最近五六年我国远洋渔获总量都维持在200万吨左右，几乎三分之二都是在环太平洋捕捞的。可见，整个太平洋的安全，与我国渔业息息相关。 而且可怕的是，日本可能把核废水排放当做一项“持续性”工作，排放时间可能长达三十年。如果日本开了这个先河，以后就会有无数吨废水垃圾流入大海。 现在，周边国家敦促日本政府深入评估福岛核污水处理方案可能带来的影响，在与周边国家充分协商的基础上慎重作出决策。最好的办法，就是全世界核专家组成调查团，赶赴日本福岛，一起商讨核废水的处理方法。——@中国三农发布 评论员 #核污水入海有多可怕# #日本称处理福岛核污水不能推迟#,【三农快评  L中国三农发布的微博视频 收起全文d
秦客shin,3462772012,04月12日 21:40,微博 weibo.com,,,,,,#v光计划#, 这是IAEA4月2日对日本福岛废水的评估报告，链接：O网页链接。图四是报告的摘要版，提到了主要的发现和建议：上面一段是所谓“同意”的来源，就是在技术原理上的同意；下一段是实践层面，IAEA既没有权限也没有兴趣直接给日本政府背书，大致机翻见图六，关键词是所有利益相关者 ​
sanhuhu,1683366651,04月12日 15:29,Redmi Note 8 Pro四摄,,,,,,-,说日本排核污水没啥问题的人，大多也都是当初要中国因为疫情向世界道歉的人。还记得当时流行的说法是“你家着火，把邻居家燎着了，难道不要道歉赔偿吗？”那你家核电站炸了，把我家水池子给弄脏了，你要不要道歉赔偿?就是个立场问题，装哪门子理客中。 ​
迷迭香God-Prime-minister,3481287622,04月12日 22:51,小米10 Pro,,,,,,-,记得我之前说过，我左眼皮跳吉，右眼跳灾，准确率很高，很玄学，我刚才右眼皮狂跳 ³几分钟～如果没有别的事情的话，那就是核废水这个事情，可能会有大灾害级别的影响～ ​
种花家的蓝领兔,5528324631,04月12日 17:48,枪腔锵呛超话,,3,,1,,#日本民众反对政府将核废水排海#,枪腔锵呛天底下最诡异的事情莫过于：日本人反对日本向大海中排核废水，中国竟然有人说其实没啥危害。【】4月12日中午，约百名日本普通民众在首相官邸前集会，反对日本政府计划在13日正式决定向海洋排放福岛核电站含有对海洋环境有害的核废水。他们手持“不要把放射性污水排入海洋”“不要让污水污染海洋”“反对将核废水排海”等标语，要求日本政府和东京电力公司承担起责任，不要作出把核废水排海的决定。（人民日报记者刘军国） 2齐齐哈尔 收起全文d
吕梁政法,6526504927,04月12日 20:09,iPhone客户端,,,,4,,#日本核废水可致癌致畸致突变#】4月9日，日本政府基本决定将福岛核污水排入大海。12日，日本首相菅义伟表示，解决东京电力公司福岛第一核电站中不断增加的核污水一事，已经是“不能推迟”的课题。郑州大学教授李顺义指出，核废水排入大海以后，首先会影响到周边国家，然后经过海洋的大洋环流，十年以后，整个太平洋将会受到全部的污染。它如果存在人的体内，就可能导致“三致”，致癌致畸致突变，对人的遗传基因有重大的影响。#日本称处理福岛核污水不能推迟##外交部回应日本拟决定核废水排海#,【专家： L大参考的微博视频 收起全文d
西夏09,1652452091,04月12日 22:26,Android客户端,,3,,,,-,由核辐射引发的最常见疾病是甲状腺和白血病，这是福岛县南相马一家医院的病例资料。2017年同比2010年，甲状腺癌患者增幅为29倍。白血病患者增加10倍多。因人口增长，人口流入或人口老龄化等各种原因，这个地方的大部分平均疾病增长都在2倍到4倍之间山下。但唯独甲状腺癌和白血病增长幅度远远超出了其他疾病增长平均幅度。 收起全文d
紫金山上听风吟,2812129277,04月12日 22:49,微博视频号,,,,8,,-,日本拟决定向海洋排放核废水 中方严重关切：国际社会都在看着。这么严重的生态灾难面前那些关心人类生存环境的欧美国家突然都不见了！L海客新闻的秒拍视频 ​
钓狗小队长,5943011413,04月12日 22:48,三星 Galaxy Note9,,1,,1,,-,日本人真是坏到骨子里了不愿意麻烦别人的日本人为啥不一人一口把核废水喝了。这就是典型的就算自己要死了，也要拉全世界陪葬。妈的，以后不仅没有海鲜吃，海洋系统、气候啥的也都嗝屁，真尼玛全世界都跟着遭殃。前几年就有大量海洋生物死亡，其实是小本子早就偷偷往海洋里排核废水了吧。毁灭吧日本，赶紧的，不要再糟蹋快乐星球了。 收起全文d
双溪旁,1557002520,04月12日 16:08,360安全浏览器,,,,,,-,某松鼠会又开始活跃起来了 ​
逝水英雄2015,7333753160,04月12日 22:48,Android,,,,,,#菅义伟回应福岛核污水排入大海#,西方媒体还真没怎么报道日本核废水排放的事情，不像切尔诺贝利一样反复鞭尸。 ​
正义法制网,6002234180,04月12日 22:48,bShare分享,,2,,,,-,赵立坚回应日本拟决定核废水排海 -       外交部发言人赵立坚4月12日说，国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。我注意到日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。  O网页链接 收起全文d
鹿隐溪_lyx,2651714001,04月12日 15:29,微博 weibo.com,,,,,,#外交部回应日本拟决定排核废水入海#，#赵立坚称国际社会都在看着日方#,【】据报道，日本政府将于4月13日举行内阁会议，正式决定向海洋排放福岛核电站含有对海洋环境等有害的核废水。赵立坚：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。我注意到日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。O网页链接 收起全文d
山科大公共课教学部,5361818472,04月12日 22:48,iPhone客户端,,,,,,#日方不能对国际社会的反对视而不见#】#外交部回应日本拟决定核废水排海#,【外交部：：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。（编辑：刘文璐） 收起全文d
弥勒佛麦口,1605679063,04月12日 17:45,iPhone XS,,,,,,-,给我看傻眼了………就这样也不愿意买更多的地埋核废水而选择排海里啊…………资本家不愧是你涨电价给我看乐了 ​
